    Time_s  Positive_count  Negative_count  
Anna 5 6 7 
Video1 68 250 125 
Video2 126 215 12 
Video3 39 300 156 
Video4 38 312 65 
Video5 65 256 124.95 
Video6 90 236 69 
Video7 60 236 65 
Video8 62 254 65 
Video9 63 250 63 
Video10 600 250 62 
Video11 60 267 65 
Video12 92 900 68 
Video13 82 301 69 
Video14 92.19 32 63 
Video15 60 35 63 
Video16 60 32 124.95 
Video17 62 304.85 654 
Video18 63 12 12 
Video19 12 352 256 
Video20 32 256 236 
Video21 86 256 65 
Video22 92.19 254 668 
Video23 93 253 65 
Video24 91 251 68 
Video25 94 251 65 
Video26 100 304.85 65 
Video27 120 251 124.95 
Video28 93 236 69 
Video29 92.19 2364 697 
Video30 85 254 65 
Video31 90 214 68 
Video32 85 258 69 
Video33 93 259 124.95 
Video34 90 257 69 
Video35 93 259 65 
Video36 94 257 63 
Video37 92.19 256 64 
Video38 93 254 67 
Video39 93 254 63 
Video40 93 254 67 
Video42 91 251 33 
